FIRM'S NAME,LATITUDE,LONGITUDE,AMOUNT OF WASTE,REGION,,,
GÜLER SENTET?K ÇUVAL TEKST?L SAN. VE T?C. A.?.,37.15503293,37.3455114,86,5,,,
HAKPA TEKST?L PAZARLAMA SAN. VE T?C. LTD. ?T?.,37.18925465,37.32345394,148,5,,,
H?LA AKTA? TEKST?L H?JYEN SA?LIK VE GIDA ÜRÜNLER? SAN. T?C.LTD. ?T?,37.08791905,37.43937858,64,5,,,
H?LAL SENTET?K DOKUMA SAN. VE T?C. LTD. ?T?.,37.19990464,37.30323984,83,5,,,
HONCOVER TEKST?L ?N?AAT VE ENERJ? T?C. A.?,37.17803804,37.35654853,27,5,,,
?MZA HALI TEKST?L GER? DÖNÜ?ÜM TOPLAMA VE AYRI?TIRMA SAN.T?C.LTD.?T?,37.15768398,37.33567676,102,5,,,
?NC? TEKST?L SAN. VE T?C. LTD. ?T?.,37.21331637,37.35222622,36,5,,,
KAD? TEKST?L GIDA SAN. VE T?C. LTD. ?T?,37.18696957,37.33206227,124,5,,,
KARAF?BER TEKST?L SAN. VE T?C. A.?,37.18330189,37.36415484,77,5,,,
KARYÜN HALI TEKST?L SAN. VE T?C. LTD. ?T?.,37.19242547,37.33175469,144,5,,,
KAYRA ?PL?K A.?.,37.16087139,37.32989892,53,5,,,
KERVANCI ?PL?K TEKST?L SAN. VE T?C. A.?.,37.18961502,37.37373726,109,5,,,
KORKMAZ ELYAF ?N?AAT SAN. VE T?C. LTD. ?T?.,37.15954271,37.34477478,24,5,,,
KR?STAL MENSUCAT SAN. VE T?C. LTD. ?T?.,37.18416832,37.35766058,94,5,,,
M?LAT HALI SAN. VE T?C. LTD. ?T?.,37.34333945,37.34333945,49,5,,,
MOLHAN TEKST?L SAN. VE T?C. A.?.,37.14274482,37.34220481,125,5,,,
MONA PP ?PL?K SAN. VE T?C. A.?.,37.16339184,37.29305777,62,5,,,
MONOF?BER TEKST?L TEKST?L SAN. VE T?C. LTD. ?T?.,37.18962924,37.3255761,87,5,,,
PRENS CARPET A.?,37.14093928,37.34302164,39,5,,,
PETSA TEKST?L A.?.,37.19170695,37.32205652,110,5,,,
